Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,PSCH,PSCD,PSCA
2002-01-17,Sunderland,Liverpool,2,2,D,1,1,D,A Taylor,10,21,5,15,10,10,2,5,2,3,0,0,11.0,5.5,1.33,9.95,5.55,1.35,11.0,4.5,1.36,10.0,6.2,1.32
2002-01-17,Middlesbrough,Leicester,0,0,D,0,0,D,R Madley,9,10,1,4,10,9,2,2,3,0,0,0,2.75,3.2,2.88,2.8,3.16,2.88,2.75,3.1,2.8,2.78,3.06,2.99
2002-01-17,Man City,Burnley,2,1,H,0,0,D,L Mason,14,11,3,3,11,11,8,8,4,3,1,0,1.17,8.5,19.0,1.18,8.55,17.5,1.18,7.0,15.0,1.19,7.75,18.5
2002-01-17,Everton,Southampton,3,0,H,0,0,D,K Friend,17,12,6,3,5,14,10,8,0,1,0,0,2.2,3.4,3.6,2.28,3.33,3.55,2.3,3.2,3.4,2.48,3.25,3.24
2002-01-17,West Ham,Man United,0,2,A,0,0,D,M Dean,8,13,2,6,9,13,2,1,1,2,1,0,6.0,4.0,1.65,5.77,4.13,1.65,5.5,3.8,1.67,6.5,4.57,1.54
2002-04-17,Swansea,Middlesbrough,0,0,D,0,0,D,R Madley,15,8,3,1,9,16,11,3,2,3,0,0,2.0,3.4,4.33,1.98,3.43,4.47,1.95,3.5,4.2,1.95,3.43,4.62
2002-04-17,Arsenal,Man City,2,2,D,1,2,A,A Marriner,8,14,3,5,8,15,3,8,3,2,0,0,3.1,3.75,2.3,3.22,3.82,2.23,3.1,3.5,2.3,2.9,3.84,2.41
2002-10-16,Leicester,Southampton,0,0,D,0,0,D,M Atkinson,9,11,1,5,9,9,3,6,1,0,0,0,2.25,3.4,3.5,2.24,3.35,3.63,2.25,3.25,3.5,2.52,3.38,3.05
2002-10-16,Burnley,Arsenal,0,1,A,0,0,D,C Pawson,10,18,1,3,2,3,2,6,0,0,0,0,9.0,5.0,1.4,10.17,5.13,1.38,9.5,4.5,1.4,9.5,5.38,1.37
2002-10-16,Man United,Stoke,1,1,D,0,0,D,R Madley,24,7,9,6,14,9,13,2,3,0,0,0,1.33,5.75,10.0,1.35,5.46,10.61,1.33,5.0,11.0,1.31,5.8,12.0
2002-10-16,Tottenham,Man City,2,0,H,2,0,H,A Marriner,13,12,7,6,20,10,4,3,2,2,0,0,3.0,3.5,2.5,2.99,3.54,2.48,3.0,3.4,2.4,3.02,3.5,2.48
2003-01-17,Stoke,Watford,2,0,H,1,0,H,N Swarbrick,17,9,5,2,10,15,7,6,1,2,0,0,1.8,3.5,4.5,1.89,3.58,4.7,1.95,3.4,4.2,1.85,3.57,5.02
2003-01-17,Crystal Palace,Swansea,1,2,A,0,1,A,P Tierney,7,11,3,4,13,14,4,5,2,1,0,0,1.75,3.5,4.75,1.8,3.77,5.0,1.83,3.4,5.0,1.88,3.71,4.58
2003-01-17,Bournemouth,Arsenal,3,3,D,2,0,H,M Oliver,12,14,6,4,10,12,4,7,3,3,1,0,4.33,3.4,1.85,4.52,3.87,1.85,5.0,3.4,1.83,5.45,4.3,1.65
2003-12-16,Man City,Chelsea,1,3,A,1,0,H,A Taylor,14,10,5,4,14,9,9,2,2,3,2,0,2.15,3.6,3.6,2.14,3.59,3.64,2.2,3.3,3.5,2.15,3.49,3.72
2003-12-16,West Ham,Arsenal,1,5,A,0,1,A,C Pawson,10,19,3,10,10,11,3,2,3,3,0,0,4.75,4.2,1.75,5.08,4.1,1.72,4.8,3.8,1.75,5.57,4.41,1.63
2003-12-16,West Brom,Watford,3,1,H,2,0,H,G Scott,11,17,3,5,12,8,3,4,2,1,0,1,2.2,3.3,3.75,2.16,3.33,3.89,2.2,3.2,3.6,2.1,3.38,4.03
2003-12-16,Tottenham,Swansea,5,0,H,2,0,H,J Moss,28,1,15,0,11,17,5,0,0,4,0,0,1.36,5.5,9.0,1.36,5.45,9.64,1.36,5.0,9.5,1.36,5.67,9.36
2003-12-16,Sunderland,Leicester,2,1,H,0,0,D,A Marriner,22,17,6,5,8,12,3,4,3,1,0,0,3.4,3.4,2.3,3.39,3.44,2.3,3.4,3.2,2.3,3.43,3.52,2.25
2003-12-16,Stoke,Burnley,2,0,H,2,0,H,M Clattenburg,10,14,4,4,7,13,4,9,3,2,0,0,1.62,4.0,6.5,1.64,4.1,6.03,1.62,3.75,6.5,1.62,4.04,6.45
2003-12-16,Crystal Palace,Southampton,3,0,H,2,0,H,N Swarbrick,9,17,4,3,11,13,4,9,3,1,0,0,3.5,3.3,2.3,3.58,3.39,2.24,3.4,3.2,2.3,3.66,3.42,2.2
2004-01-17,Tottenham,Chelsea,2,0,H,1,0,H,M Atkinson,9,11,2,2,9,8,1,6,3,2,0,0,2.63,3.25,2.63,2.77,3.35,2.77,2.9,3.1,2.62,2.71,3.09,3.05
2004-02-17,Crystal Palace,Sunderland,0,4,A,0,4,A,A Marriner,21,10,9,7,8,8,6,1,3,3,0,0,1.7,3.9,5.5,1.73,3.91,5.37,1.67,3.8,5.5,1.7,3.82,5.81
2004-02-17,Chelsea,Arsenal,3,1,H,1,0,H,M Atkinson,13,9,6,5,14,8,10,13,1,1,0,0,1.95,3.6,4.2,1.94,3.58,4.42,2.0,3.3,4.2,2.08,3.36,4.13
2004-02-17,Everton,Bournemouth,6,3,H,3,0,H,M Jones,15,18,10,8,14,4,4,8,3,1,0,0,1.7,4.0,5.25,1.74,4.0,5.14,1.73,3.6,5.5,1.7,4.03,5.41
2004-02-17,Tottenham,Middlesbrough,1,0,H,0,0,D,M Clattenburg,17,8,5,0,8,11,11,2,0,1,0,0,1.29,6.0,13.0,1.29,5.95,13.45,1.29,5.5,13.0,1.29,6.15,12.5
2004-02-17,Watford,Burnley,2,1,H,2,0,H,M Oliver,16,11,7,7,12,10,3,6,5,0,0,1,2.15,3.3,3.9,2.12,3.28,4.1,2.15,3.2,3.8,2.13,3.23,4.14
2004-02-17,West Brom,Stoke,1,0,H,1,0,H,K Friend,16,12,4,2,6,13,5,6,2,2,0,0,2.3,3.25,3.5,2.31,3.29,3.53,2.38,3.1,3.4,2.41,3.2,3.41
2004-02-17,Southampton,West Ham,1,3,A,1,2,A,G Scott,21,6,7,4,12,15,3,2,0,2,0,0,1.85,3.75,4.5,1.85,3.67,4.84,1.83,3.6,4.5,1.78,3.86,5.0
