Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,PSCH,PSCD,PSCA,GoalDiff_HT,GoalDiff_FT,TotalHomeShots,TotalAwayShots,HomeTeam_ID,AwayTeam_ID
2015,Leicester,Aston Villa,3,2,H,0,1,A,M Dean,21,11,6,4,8,13,4,5,2,1,0,0,1.91,3.75,4.33,1.86,3.74,4.62,1.91,3.3,4.33,1.88,3.78,4.47,-1,1,27,15,3,10
2015,Sunderland,Tottenham,0,1,A,0,0,D,C Pawson,12,15,2,4,11,12,6,8,2,1,0,0,4.33,3.6,1.95,4.32,3.65,1.94,4.2,3.25,1.95,4.26,3.69,1.94,0,-1,14,19,12,14
2015,West Ham,Newcastle,2,0,H,1,0,H,A Taylor,17,14,3,4,8,11,6,7,0,2,0,0,2.25,3.5,3.4,2.23,3.53,3.48,2.25,3.1,3.4,2.09,3.63,3.77,1,2,20,18,16,7
2015,Aston Villa,West Brom,0,1,A,0,1,A,M Atkinson,13,11,3,6,10,11,2,7,2,3,0,0,2.3,3.25,3.5,2.32,3.23,3.57,2.3,3.2,3.2,2.4,3.18,3.46,-1,-1,16,17,10,9
2015,Bournemouth,Sunderland,2,0,H,2,0,H,K Friend,15,9,5,2,14,15,7,3,2,4,0,1,1.7,4.0,5.5,1.71,3.99,5.35,1.73,3.6,5.0,1.57,4.75,5.75,2,2,20,11,0,12
2015,Chelsea,Arsenal,2,0,H,0,0,D,M Dean,22,9,7,2,12,11,5,5,3,1,0,2,2.45,3.5,3.0,2.45,3.51,3.06,2.4,3.1,3.1,2.65,3.46,2.82,0,2,29,11,1,6
2015,Man City,West Ham,1,2,A,1,2,A,R Madley,27,6,8,3,10,7,16,3,1,2,0,0,1.29,6.5,11.0,1.27,6.45,12.78,1.29,5.0,12.0,1.29,6.2,11.5,-1,-1,35,9,18,16
2015,Newcastle,Watford,1,2,A,0,2,A,R East,15,13,5,4,8,12,5,5,1,2,0,0,2.5,3.3,3.1,2.54,3.36,3.04,2.5,3.2,2.9,2.16,3.47,3.73,-2,-1,20,17,7,15
2015,Stoke,Leicester,2,2,D,2,0,H,A Marriner,11,12,4,5,7,12,3,4,1,4,0,0,2.5,3.4,3.0,2.47,3.41,3.1,2.5,3.0,3.0,2.99,3.45,2.53,2,0,15,17,8,3
2015,Swansea,Everton,0,0,D,0,0,D,S Attwell,12,17,3,2,12,11,2,4,2,2,0,1,2.3,3.4,3.4,2.3,3.44,3.4,2.3,3.2,3.2,2.21,3.45,3.61,0,0,15,19,13,2
2015,Liverpool,Norwich,1,1,D,0,0,D,A Taylor,23,7,7,2,4,13,6,2,1,2,0,0,1.67,4.0,5.75,1.68,3.94,5.81,1.67,3.6,5.5,1.59,4.23,6.5,0,0,30,9,19,5
2015,Southampton,Man United,2,3,A,1,1,D,M Clattenburg,15,10,8,3,6,13,5,5,2,0,0,0,3.1,3.3,2.5,3.22,3.3,2.46,3.0,3.0,2.5,3.45,3.28,2.35,0,-1,23,13,11,4
2015,Tottenham,Crystal Palace,1,0,H,0,0,D,M Oliver,22,12,6,4,9,11,6,5,1,2,0,0,2.0,3.6,4.0,1.99,3.61,4.15,1.95,3.5,3.8,1.94,3.78,4.15,0,1,28,16,14,17
2015,Leicester,Arsenal,2,5,A,1,2,A,C Pawson,16,26,7,12,9,12,6,5,1,1,0,0,4.5,4.0,1.8,4.55,3.97,1.83,4.0,3.75,1.85,4.76,4.03,1.78,-1,-3,23,38,3,6
2015,Liverpool,Aston Villa,3,2,H,1,0,H,J Moss,21,10,12,4,8,13,11,1,0,0,0,0,1.53,4.33,7.0,1.53,4.28,7.48,1.53,3.8,7.0,1.5,4.42,7.79,1,1,33,14,19,10
2015,Man United,Sunderland,3,0,H,1,0,H,M Jones,12,9,7,4,12,17,5,2,0,3,0,0,1.2,7.5,16.0,1.23,6.9,16.7,1.22,6.0,13.0,1.22,7.7,13.75,1,3,19,13,4,12
2015,Newcastle,Chelsea,2,2,D,1,0,H,M Atkinson,11,16,5,4,12,15,4,6,1,2,0,0,6.0,4.2,1.62,5.98,4.16,1.63,6.0,3.6,1.62,5.8,4.24,1.63,1,0,16,20,7,1
2015,Southampton,Swansea,3,1,H,1,0,H,R East,18,11,7,4,18,14,4,3,3,1,0,0,2.05,3.4,4.2,2.04,3.51,4.07,2.05,3.1,4.0,1.85,3.71,4.79,1,2,25,15,11,13
2015,Stoke,Bournemouth,2,1,H,1,0,H,L Mason,8,11,5,6,13,11,3,7,1,0,0,0,2.55,3.3,3.0,2.47,3.46,3.06,2.5,3.1,3.0,2.43,3.49,3.1,1,1,13,17,8,0
2015,Tottenham,Man City,4,1,H,1,1,D,M Clattenburg,15,22,8,8,17,6,5,9,5,1,0,0,4.2,3.8,1.91,4.03,3.82,1.96,4.0,3.4,1.95,3.49,3.51,2.23,0,3,23,30,14,18
2015,West Ham,Norwich,2,2,D,1,1,D,M Dean,19,16,7,7,7,17,7,5,0,0,0,0,2.25,3.5,3.4,2.22,3.54,3.49,2.3,3.2,3.2,2.25,3.49,3.45,0,0,26,23,16,5
2015,Watford,Crystal Palace,0,1,A,0,0,D,A Taylor,15,16,2,3,17,22,6,4,4,4,0,0,2.5,3.3,3.1,2.49,3.36,3.12,2.5,3.1,3.0,2.61,3.38,2.93,0,-1,17,19,15,17
2015,West Brom,Everton,2,3,A,1,0,H,R Madley,9,12,4,4,9,8,6,4,0,3,0,0,3.1,3.3,2.5,3.06,3.39,2.51,3.1,3.0,2.5,3.02,3.36,2.55,1,-1,13,16,9,2
2015,Aston Villa,Stoke,0,1,A,0,0,D,M Jones,13,12,2,5,12,12,9,5,1,0,0,0,2.5,3.3,3.1,2.5,3.34,3.11,2.5,3.2,2.9,2.71,3.25,2.91,0,-1,15,17,10,8
2015,Bournemouth,Watford,1,1,D,1,1,D,M Oliver,12,11,6,2,8,13,5,3,1,1,0,0,2.1,3.5,3.8,2.13,3.54,3.72,2.15,3.0,3.75,2.21,3.34,3.72,0,0,18,13,0,15
2015,Chelsea,Southampton,1,3,A,1,1,D,R Madley,10,13,3,5,14,14,4,6,2,5,0,0,1.83,3.7,4.8,1.83,3.76,4.84,1.83,3.2,4.8,1.79,3.9,4.89,0,-2,13,18,1,11
